     11950 CLK=1 RST=0 OUT= 6 1
     12000 CLK=0 RST=0 OUT= 6 1
     12050 CLK=1 RST=0 OUT= 6 1
     12100 CLK=0 RST=0 OUT= 6 1
     12150 CLK=1 RST=0 OUT= 6 0
     12200 CLK=0 RST=0 OUT= 6 0
     12250 CLK=1 RST=0 OUT= 6 0
     12300 CLK=0 RST=0 OUT= 6 0
     12350 CLK=1 RST=0 OUT= 6 0
     12400 CLK=0 RST=0 OUT= 6 0
     12450 CLK=1 RST=0 OUT= 5 9
     12500 CLK=0 RST=0 OUT= 5 9
     12550 CLK=1 RST=0 OUT= 5 9
     12600 CLK=0 RST=0 OUT= 5 9
     12650 CLK=1 RST=0 OUT= 5 9
     12700 CLK=0 RST=0 OUT= 5 9
     12750 CLK=1 RST=0 OUT= 5 8
     12800 CLK=0 RST=0 OUT= 5 8
     12850 CLK=1 RST=0 OUT= 5 8
     12900 CLK=0 RST=0 OUT= 5 8
     12950 CLK=1 RST=0 OUT= 5 8
     13000 CLK=0 RST=0 OUT= 5 8
     13050 CLK=1 RST=0 OUT= 5 7
     13100 CLK=0 RST=0 OUT= 5 7
     13150 CLK=1 RST=0 OUT= 5 7
     13200 CLK=0 RST=0 OUT= 5 7
     13250 CLK=1 RST=0 OUT= 5 7
     13300 CLK=0 RST=0 OUT= 5 7
     13350 CLK=1 RST=0 OUT= 5 6
     13400 CLK=0 RST=0 OUT= 5 6
     13450 CLK=1 RST=0 OUT= 5 6
     13500 CLK=0 RST=0 OUT= 5 6
     13550 CLK=1 RST=0 OUT= 5 6
     13600 CLK=0 RST=0 OUT= 5 6
     13650 CLK=1 RST=0 OUT= 5 5
     13700 CLK=0 RST=0 OUT= 5 5
     13750 CLK=1 RST=0 OUT= 5 5
     13800 CLK=0 RST=0 OUT= 5 5
     13850 CLK=1 RST=0 OUT= 5 5
     13900 CLK=0 RST=0 OUT= 5 5
     13950 CLK=1 RST=0 OUT= 5 4
     14000 CLK=0 RST=0 OUT= 5 4
     14050 CLK=1 RST=0 OUT= 5 4
     14100 CLK=0 RST=0 OUT= 5 4
     14150 CLK=1 RST=0 OUT= 5 4
     14200 CLK=0 RST=0 OUT= 5 4
     14250 CLK=1 RST=0 OUT= 5 3
     14300 CLK=0 RST=0 OUT= 5 3
     14350 CLK=1 RST=0 OUT= 5 3
     14400 CLK=0 RST=0 OUT= 5 3
     14450 CLK=1 RST=0 OUT= 5 3
     14500 CLK=0 RST=0 OUT= 5 3
     14550 CLK=1 RST=0 OUT= 5 2
     14600 CLK=0 RST=0 OUT= 5 2
     14650 CLK=1 RST=0 OUT= 5 2
     14700 CLK=0 RST=0 OUT= 5 2
     14750 CLK=1 RST=0 OUT= 5 2
     14800 CLK=0 RST=0 OUT= 5 2
     14850 CLK=1 RST=0 OUT= 5 1
     14900 CLK=0 RST=0 OUT= 5 1
     14950 CLK=1 RST=0 OUT= 5 1
     15000 CLK=0 RST=0 OUT= 5 1
     15050 CLK=1 RST=0 OUT= 5 1
     15100 CLK=0 RST=0 OUT= 5 1
     15150 CLK=1 RST=0 OUT= 5 0
     15200 CLK=0 RST=0 OUT= 5 0
     15250 CLK=1 RST=0 OUT= 5 0
     15300 CLK=0 RST=0 OUT= 5 0
     15350 CLK=1 RST=0 OUT= 5 0
     15400 CLK=0 RST=0 OUT= 5 0
     15450 CLK=1 RST=0 OUT= 4 9
     15500 CLK=0 RST=0 OUT= 4 9
     15550 CLK=1 RST=0 OUT= 4 9
     15600 CLK=0 RST=0 OUT= 4 9
     15650 CLK=1 RST=0 OUT= 4 9
     15700 CLK=0 RST=0 OUT= 4 9
